aardvark, ɑrdvɑrk, 'ɑrdˌvɑrk
probable, prɑbəbəl, 'prɑ bə bəl
probably, prɑbəbli, 'prɑ bə bli
probably, prɑbli, 'prɑ bli
probate, probet, 'proˌbet
probation, probeʃən, pro'be ʃən
probationary, probeʃənɛri, pro'be ʃəˌnɛ ri
probationer, probeʃənər, pro'be ʃə nər
probationers, probeʃənərz, pro'be ʃə nərz
probative, probetɪv, pro'be tɪv
probe, prob, prob
probed, probd, probd
probenecid, prɑbɛnəsɪd, ˌprɑ'bɛ nə sɪd
probes, probz, probz
probing, probɪŋ, 'pro bɪŋ
probity, probəti, 'pro bə ti
problem, prɑbləm, 'prɑ bləm
problematic, prɑbləmætɪk, ˌprɑ blə'mæ tɪk
problematical, prɑbləmætɪkəl, ˌprɑ blə'mæ tɪ kəl
problems, prɑbləmz, 'prɑ bləmz
proboscis, probɑsəs, pro'bɑ səs
procaine, proken, 'proˌken
procedural, prəsidʒərəl, prə'si dʒə rəl
procedurally, prəsidʒərəli, prə'si dʒə rə li
procedurally, prəsidʒrəli, prə'sidʒ rə li
procedure, prəsidʒər, prə'si dʒər
procedure, prosidʒər, pro'si dʒər
procedures, prəsidʒərz, prə'si dʒərz
procedures, prosidʒərz, pro'si dʒərz
proceed, prəsid, prə'sid
proceed, prosid, pro'sid
proceed, pərsid, pər'sid
proceeded, prəsidəd, prə'si dəd
proceeded, prosidɪd, pro'si dɪd
proceeding, prəsidɪŋ, prə'si dɪŋ
proceeding, prosidɪŋ, pro'si dɪŋ
proceedings, prosidɪŋz, pro'si dɪŋz
proceedings, prəsidɪŋz, prə'si dɪŋz
proceeds, prəsidz, prə'sidz
proceeds, prosidz, pro'sidz
process, prɑsɛs, 'prɑˌsɛs
process, prɔsɛs, 'prɔˌsɛs
processed, prɑsɛst, 'prɑ sɛst
processes, prɑsɛsəz, 'prɑ sɛ səz
processing, prɑsɛsɪŋ, 'prɑ sɛ sɪŋ
procession, prəsɛʃən, prə'sɛ ʃən
procession, prosɛʃən, pro'sɛ ʃən
processional, prəsɛʃənəl, prə'sɛ ʃə nəl
processional, prosɛʃənəl, pro'sɛ ʃə nəl
processions, prosɛʃənz, pro'sɛ ʃənz
processor, prɑsɛsər, 'prɑˌsɛ sər
processors, prɑsɛsərz, 'prɑˌsɛ sərz
proclaim, proklem, pro'klem
proclaimed, proklemd, pro'klemd
proclaiming, proklemɪŋ, pro'kle mɪŋ
proclaims, proklemz, pro'klemz
proclamation, prɑkləmeʃən, ˌprɑ klə'me ʃən
proclamations, prɑkləmeʃənz, ˌprɑ klə'me ʃənz
proclivities, proklɪvətiz, pro'klɪ və tiz
proclivity, proklɪvəti, pro'klɪ və ti
proconsul, prokɑnsəl, pro'kɑn səl
procrastinate, prəkræstənet, prə'kræ stəˌnet
procrastinated, prəkræstənetəd, prə'kræ stəˌne təd
procrastinates, prəkræstənets, prə'kræ stəˌnets
procrastinating, prəkræstənetɪŋ, prə'kræ stəˌne tɪŋ
procrastination, prəkræstəneʃən, prəˌkræ stə'ne ʃən
procrastinator, prəkræstənetər, prə'kræ stəˌne tər
procrastinators, prəkræstənetərz, prə'kræ stəˌne tərz
procreate, prokriet, 'pro kri'et
procreated, prokrietəd, 'pro kri'e təd
procreates, prokriets, 'pro kri'ets
procreating, prokrietɪŋ, 'pro kri'e tɪŋ
procreation, prokrieʃən, 'pro kri'e ʃən
proctor, prɑktər, 'prɑk tər
proctors, prɑktərz, 'prɑk tərz
procure, prokjʊr, pro'kjʊr
procured, prokjʊrd, pro'kjʊrd
procurement, prokjʊrmənt, pro'kjʊr mənt
procurements, prokjʊrmənts, pro'kjʊr mənts
procurer, prokjʊrər, pro'kjʊ rər
procuring, prokjʊrɪŋ, pro'kjʊ rɪŋ
prod, prɑd, prɑd
prodded, prɑdɪd, 'prɑ dɪd
prodding, prɑdɪŋ, 'prɑ dɪŋ
prodigal, prɑdɪgəl, 'prɑ dɪ gəl
prodigies, prɑdədʒiz, 'prɑ də dʒiz
prodigious, prədɪdʒəs, prə'dɪ dʒəs
prodigiously, prodɪdʒɪsli, pro'dɪ dʒɪs li
prodigy, prɑdədʒi, 'prɑ də dʒi
prods, prɑdz, prɑdz
produce, prədus, prə'dus
produce, produs, 'pro dus
produced, prədust, prə'dust
producer, prədusər, prə'du sər
producers, prədusərz, prə'du sərz
produces, prədusəz, prə'du səz
produces, prədusɪz, prə'du sɪz
producing, prədusɪŋ, prə'du sɪŋ
product, prɑdəkt, 'prɑ dəkt
production, prədʌkʃən, prə'dʌk ʃən
production, prodʌkʃən, pro'dʌk ʃən
production, pərdʌkʃən, pər'dʌk ʃən
productions, prədʌkʃənz, prə'dʌk ʃənz
productions, prodʌkʃənz, pro'dʌk ʃənz
productions, pərdʌkʃənz, pər'dʌk ʃənz
productive, prədʌktɪv, prə'dʌk tɪv
productive, prodʌktɪv, pro'dʌk tɪv
productive, pərdʌktɪv, pər'dʌk tɪv
productively, prədʌktɪvli, prə'dʌk tɪv li
productively, prodʌktɪvli, pro'dʌk tɪv li
productively, pərdʌktɪvli, pər'dʌk tɪv li
productivity, prodəktɪvəti, ˌpro dək'tɪ və ti
productivity, prodəktɪvɪti, ˌpro dək'tɪ vɪ ti
products, prɑdəkts, 'prɑ dəkts
products, prɑdəks, 'prɑ dəks
profanation, prɔfəneʃən, ˌprɔ fə'ne ʃən
profane, profen, pro'fen
profanity, profænəti, pro'fæ nə ti
profess, prəfɛs, prə'fɛs
professed, prəfɛst, prə'fɛst
professes, prəfɛsɪz, prə'fɛ sɪz
professing, prəfɛsɪŋ, prə'fɛ sɪŋ
profession, prəfɛʃən, prə'fɛ ʃən
professional, prəfɛʃənəl, prə'fɛ ʃə nəl
professionalism, prəfɛʃənəlɪzəm, prə'fɛ ʃə nəˌlɪ zəm
professionalize, prəfɛʃənəlaɪz, prə'fɛ ʃə nəˌlaɪz
professionalized, prəfɛʃənəlaɪzd, prə'fɛ ʃə nəˌlaɪzd
professionally, prəfɛʃənəli, prə'fɛ ʃə nə li
professionally, prəfɛʃnəli, prə'fɛʃ nə li
professionals, prəfɛʃənəlz, prə'fɛ ʃə nəlz
professions, prəfɛʃənz, prə'fɛ ʃənz
professor, prəfɛsər, prə'fɛ sər
professorial, profəsɔriəl, ˌpro fə'sɔ riəl
professors, prəfɛsərz, prə'fɛ sərz
professorship, prəfɛsərʃɪp, prə'fɛ sərˌʃɪp
professorships, prəfɛsərʃɪps, prə'fɛ sərˌʃɪps
proffer, prɑfər, 'prɑ fər
proffered, prɑfərd, 'prɑ fərd
proffering, prɑfərɪŋ, 'prɑ fə rɪŋ
proficiency, prəfɪʃənsi, prə'fɪ ʃən si
proficient, prɑfɪʃənt, prɑ'fɪ ʃənt
profile, profaɪl, 'proˌfaɪl
profiled, profaɪld, 'proˌfaɪld
profiles, profaɪlz, 'proˌfaɪlz
profiling, profaɪlɪŋ, 'proˌfaɪ lɪŋ
profit, prɑfət, 'prɑ fət
profit, prɑfɪt, 'prɑ fɪt
profitability, prɑfɪtəbɪlɪti, ˌprɑ fɪ tə'bɪ lɪ ti
profitable, prɑfətəbəl, 'prɑ fə tə bəl
profitably, prɑfətəbli, 'prɑ fə tə bli
profited, prɑfətəd, 'prɑ fə təd
profiteer, prɑfətɪr, ˌprɑ fə'tɪr
profiteering, prɑfətɪrɪŋ, ˌprɑ fə'tɪ rɪŋ
profiteers, prɑfətɪrz, ˌprɑ fə'tɪrz
profiting, prɑfətɪŋ, 'prɑ fə tɪŋ
profits, prɑfɪts, 'prɑ fɪts
profligacy, prɔflɪgæsi, 'prɔf lɪˌgæ si
profligate, prɔflɪget, 'prɔf lɪˌget
profound, profaʊnd, pro'faʊnd
profoundly, profaʊndli, pro'faʊnd li
profs, prɑfs, prɑfs
profuse, prəfjus, prəf'jus
profusely, prəfjusli, prəf'jus li
profusion, prəfjuʒən, prəf'ju ʒən
progenitor, prodʒɛnɪtər, pro'dʒɛ nɪ tər
progeny, prɑdʒəni, 'prɑ dʒə ni
progesterone, prodʒɛstəron, pro'dʒɛ stəˌron
progestin, prodʒɛstɪn, pro'dʒɛ stɪn
prognoses, prɑgnosiz, prɑg'no siz
prognosis, prɑgnosəs, prɑg'no səs
prognosticate, prɑgnɑstəket, ˌprɑg'nɑ stəˌket
prognosticated, prɑgnɑstəketɪd, ˌprɑg'nɑ stəˌke tɪd
prognosticates, prɑgnɑstəkets, ˌprɑg'nɑ stəˌkets
prognosticating, prɑgnɑstəketɪŋ, ˌprɑg'nɑ stəˌke tɪŋ
prognostication, prɑgnɑstəkeʃən, prɑgˌnɑ stə'ke ʃən
prognostications, prɑgnɑstəkeʃənz, prɑgˌnɑ stə'ke ʃənz
prognosticative, prɑgnɑstəketɪv, ˌprɑg'nɑ stəˌke tɪv
program, progræm, 'proˌgræm
programing, progræmɪŋ, 'proˌgræ mɪŋ
programmable, progræməbəl, 'proˌgræ mə bəl
programmatic, prɑgrəmætɪk, ˌprɑ grə'mæ tɪk
programme, progræm, 'proˌgræm
programmed, progræmd, 'proˌgræmd
programmer, progræmər, 'proˌgræ mər
programmers, progræmərz, 'proˌgræ mərz
programming, progræmɪŋ, 'proˌgræ mɪŋ
programs, progræmz, 'proˌgræmz
progress, prɑgrɛs, 'prɑˌgrɛs
progress, prəgrɛs, prə'grɛs
progress, progrɛs, pro'grɛs
progressed, prəgrɛst, prə'grɛst
progresses, prɑgrɛsəz, 'prɑˌgrɛ səz
progresses, progrɛsəz, pro'grɛ səz
progressing, prəgrɛsɪŋ, prə'grɛ sɪŋ
progression, prəgrɛʃən, prə'grɛ ʃən
progressive, prəgrɛsɪv, prə'grɛ sɪv
progressively, prɑgrɛsɪvli, prɑ'grɛ sɪv li
progressives, prɑgrɛsɪvz, prɑ'grɛ sɪvz
progressivity, prɑgrɛsɪvəti, ˌprɑ grɛ'sɪ və ti
prohibit, prohɪbət, pro'hɪ bət
prohibited, prohɪbətəd, pro'hɪ bə təd
prohibiting, prohɪbətɪŋ, pro'hɪ bə tɪŋ
prohibition, proəbɪʃən, ˌproə'bɪ ʃən
prohibitions, proəbɪʃənz, ˌproə'bɪ ʃənz
prohibitive, prohɪbətɪv, pro'hɪ bə tɪv
prohibitively, prohɪbətɪvli, pro'hɪ bə tɪv li
prohibitory, prohɪbətɔri, pro'hɪ bəˌtɔ ri
prohibits, prohɪbəts, pro'hɪ bəts
project, prɑdʒɛkt, 'prɑ dʒɛkt
project, prədʒɛkt, prə'dʒɛkt
projected, prədʒɛktəd, prə'dʒɛk təd
projectile, prədʒɛktəl, prə'dʒɛk təl
projectile, prədʒɛktaɪl, prə'dʒɛk taɪl
projectiles, prədʒɛktəlz, prə'dʒɛk təlz
projectiles, prədʒɛktaɪlz, prə'dʒɛk taɪlz
projecting, prədʒɛktɪŋ, prə'dʒɛk tɪŋ
projection, prədʒɛkʃən, prə'dʒɛk ʃən
projections, prədʒɛkʃənz, prə'dʒɛk ʃənz
projective, prədʒɛktɪv, prə'dʒɛk tɪv
projector, prədʒɛktər, prə'dʒɛk tər
projectors, prədʒɛktərz, prə'dʒɛk tərz
projects, prɑdʒɛkts, 'prɑ dʒɛkts
projects, prədʒɛkts, prə'dʒɛkts
projects, prɑdʒɛks, 'prɑ dʒɛks
projects, prədʒɛks, prə'dʒɛks
prolactin, prolæktən, pro'læk tən
proletarian, prolətɛriən, ˌpro lə'tɛ riən
proletariat, prolətɛriət, ˌpro lə'tɛ riət
proliferate, prolɪfəret, pro'lɪ fəˌret
proliferated, prəlɪfəretɪd, prə'lɪ fəˌre tɪd
proliferates, prolɪfərets, pro'lɪ fəˌrets
proliferating, prolɪfəretɪŋ, pro'lɪ fəˌre tɪŋ
proliferation, prolɪfəreʃən, ˌpro lɪ fə're ʃən
prolific, prolɪfɪk, pro'lɪ fɪk
prolifically, prolɪfɪkli, pro'lɪ fɪ kli
prolog, prolɑg, pro'lɑg
prologue, prolɑg, 'pro lɑg
prolong, prəlɔŋ, prə'lɔŋ
prolonged, prəlɔŋd, prə'lɔŋd
prolonging, prolɔŋɪŋ, pro'lɔ ŋɪŋ
prolongs, prəlɔŋz, prə'lɔŋz
prom, prɑm, prɑm
promenade, prɑməned, ˌprɑ mə'ned
promenades, prɑmənedz, ˌprɑ mə'nedz
promethium, prəmiθiəm, prə'mi θiəm
prominence, prɑmənəns, 'prɑ mə nəns
prominences, prɑmənənsəz, 'prɑ mə nən səz
prominent, prɑmənənt, 'prɑ mə nənt
prominently, prɑmənəntli, 'prɑ mə nənt li
promiscuity, promɪskjuəti, ˌpro mɪs'kjuə ti
promiscuity, prɑmɪskjuəti, ˌprɑ mɪs'kjuə ti
promiscuous, promɪskwəs, 'pro mɪs kwəs
promiscuous, prɑmɪskjuəs, prɑ'mɪs kjuəs
promise, prɑməs, 'prɑ məs
promised, prɑməst, 'prɑ məst
promises, prɑməsəz, 'prɑ mə səz
promising, prɑməsɪŋ, 'prɑ mə sɪŋ
promissory, prɑməsɔri, 'prɑ məˌsɔ ri
promo, promo, 'proˌmo
promos, promoz, 'proˌmoz
promote, prəmot, prə'mot
promoted, prəmotəd, prə'mo təd
promoter, prəmotər, prə'mo tər
promoters, prəmotərz, prə'mo tərz
promotes, prəmots, prə'mots
promoting, prəmotɪŋ, prə'mo tɪŋ
promotion, prəmoʃən, prə'mo ʃən
promotion, pərmoʃən, pər'mo ʃən
promotional, prəmoʃənəl, prə'mo ʃə nəl
promotional, pərmoʃənəl, pər'mo ʃə nəl
promotions, prəmoʃənz, prə'mo ʃənz
promotions, pərmoʃənz, pər'mo ʃənz
prompt, prɑmpt, prɑmpt
prompted, prɑmptəd, 'prɑmp təd
prompted, prɑmptɪd, 'prɑmp tɪd
prompting, prɑmptɪŋ, 'prɑmp tɪŋ
promptly, prɑmptli, 'prɑmpt li
promptly, prɑmpli, 'prɑm pli
prompts, prɑmpts, prɑmpts
prompts, prɑmps, prɑmps
proms, prɑmz, prɑmz
promulgate, promʌlget, pro'mʌl get
promulgated, prɑməlgetəd, 'prɑ məlˌge təd
promulgates, promʌlgets, pro'mʌl gets
promulgating, prɑməlgetɪŋ, 'prɑ məlˌge tɪŋ
prone, pron, pron
prong, prɔŋ, prɔŋ
pronged, prɔŋd, prɔŋd
pronghorn, prɔŋhɔrn, 'prɔŋˌhɔrn
prongs, prɔŋz, prɔŋz
pronoun, pronaʊn, 'pro naʊn
pronounce, prənaʊns, prə'naʊns
pronounced, prənaʊnst, prə'naʊnst
pronouncement, prənaʊnsmənt, prə'naʊn smənt
pronouncements, prənaʊnsmənts, prə'naʊn smənts
pronounces, prənaʊnsɪz, prə'naʊn sɪz
pronouncing, prənaʊnsɪŋ, prə'naʊn sɪŋ
pronouns, pronaʊnz, 'pro naʊnz
pronto, prɑnto, 'prɑn to
pronunciation, pronʌnsieʃən, proˌnʌn si'e ʃən
pronunciation, prənʌnsieʃən, prəˌnʌn si'e ʃən
pronunciations, pronʌnsieʃənz, proˌnʌn si'e ʃənz
pronunciations, prənʌnsieʃənz, prəˌnʌn si'e ʃənz
proof, pruf, pruf
proofed, pruft, pruft
proofing, prufɪŋ, 'pru fɪŋ
proofread, prufrid, 'prufˌrid
proofreading, prufridɪŋ, 'prufˌri dɪŋ
proofs, prufs, prufs
prop, prɑp, prɑp
propaganda, prɑpəgændə, ˌprɑ pə'gæn də
propagandist, prɑpəgændəst, ˌprɑ pə'gæn dəst
propagandistic, prɑpəgəndɪstɪk, ˌprɑ pə gən'dɪ stɪk
propagandists, prɑpəgændəsts, ˌprɑ pə'gæn dəsts
propagandists, prɑpəgændəs, ˌprɑ pə'gæn dəs
propagandize, prɑpəgændaɪz, ˌprɑ pə'gænˌdaɪz
propagate, prɑpəget, 'prɑ pəˌget
propagated, prɑpəgetɪd, 'prɑ pəˌge tɪd
propagating, prɑpəgetɪŋ, 'prɑ pəˌge tɪŋ
propagation, prɑpəgeʃən, ˌprɑ pə'ge ʃən
propane, propen, 'proˌpen
propel, prəpɛl, prə'pɛl
propellant, prəpɛlənt, prə'pɛ lənt
propellants, propɛlənts, pro'pɛ lənts
propelled, prəpɛld, prə'pɛld
propeller, prəpɛlər, prə'pɛ lər
propellers, prəpɛlərz, prə'pɛ lərz
propelling, prəpɛlɪŋ, prə'pɛ lɪŋ
propels, prəpɛlz, prə'pɛlz
propensities, prəpɛnsətiz, prə'pɛn sə tiz
propensity, prəpɛnsɪti, prə'pɛn sɪ ti
proper, prɑpər, 'prɑ pər
properly, prɑpərli, 'prɑ pər li
properties, prɑpərtiz, 'prɑ pər tiz
property, prɑpərti, 'prɑ pər ti
prophecies, prɑfəsiz, 'prɑ fə siz
prophecy, prɑfəsi, 'prɑ fə si
prophesied, prɑfəsaɪd, 'prɑ fəˌsaɪd
prophesied, prɑfəsid, 'prɑ fəˌsid
prophesies, prɑfəsaɪz, 'prɑ fə saɪz
prophet, prɑfət, 'prɑ fət
prophetess, prɑfətəs, 'prɑ fə təs
prophetic, prəfɛtɪk, prə'fɛ tɪk
prophets, prɑfəts, 'prɑ fəts
prophylactic, prɑfɪlæktɪk, ˌprɑ fɪ'læk tɪk
prophylactic, profɪlæktɪk, ˌpro fɪ'læk tɪk
propitious, prəpɪʃəs, prə'pɪ ʃəs
proponent, prəponənt, prə'po nənt
proponents, prəponənts, prə'po nənts
proportion, prəpɔrʃən, prə'pɔr ʃən
proportional, prəpɔrʃənəl, prə'pɔr ʃə nəl
proportionality, prəpɔrʃənælɪti, prəˌpɔr ʃə'næ lɪ ti
proportionally, prəpɔrʃənəli, prə'pɔr ʃə nə li
proportionally, prəpɔrʃnəli, prə'pɔrʃ nə li
proportionate, prəpɔrʃənət, prə'pɔr ʃə nət
proportionately, prəpɔrʃənətli, prə'pɔr ʃə nət li
proportioned, prəpɔrʃənd, prə'pɔr ʃənd
proportions, prəpɔrʃənz, prə'pɔr ʃənz
proposal, prəpozəl, prə'po zəl
proposals, prəpozəlz, prə'po zəlz
propose, prəpoz, prə'poz
proposed, prəpozd, prə'pozd
proposes, prəpozɪz, prə'po zɪz
proposing, prəpozɪŋ, prə'po zɪŋ
proposition, prɑpəzɪʃən, ˌprɑ pə'zɪ ʃən
propositioned, prɑpəzɪʃənd, ˌprɑ pə'zɪ ʃənd
propositions, prɑpəzɪʃənz, ˌprɑ pə'zɪ ʃənz
propound, prəpaʊnd, prə'paʊnd
propounded, prəpaʊndəd, prə'paʊn dəd
propped, prɑpt, prɑpt
propping, prɑpɪŋ, 'prɑ pɪŋ
proprietaries, prəpraɪətɛriz, prə'praɪəˌtɛ riz
proprietary, prəpraɪətɛri, prə'praɪəˌtɛ ri
proprietor, prəpraɪətər, prə'praɪə tər
proprietors, prəpraɪətərz, prə'praɪə tərz
proprietorship, prəpraɪətərʃɪp, prə'praɪə tərˌʃɪp
proprietorships, prəpraɪətərʃɪps, prə'praɪə tərˌʃɪps
propriety, prəpraɪəti, prə'praɪə ti
props, prɑps, prɑps
propulsion, prəpʌlʃən, prə'pʌl ʃən
propylene, propəlin, pro pə'lin
prorate, proret, 'pro'ret
prorated, proretɪd, 'proˌre tɪd
proration, proreʃən, ˌpro're ʃən
pros, proz, proz
prosaic, prozeɪk, pro'ze ɪk
proscribe, proskraɪb, pro'skraɪb
proscribed, proskraɪbd, pro'skraɪbd
proscribes, proskraɪbz, pro'skraɪbz
proscription, proskrɪpʃən, pro'skrɪp ʃən
prose, proz, proz
prosecutable, prɑsɪkjutəbəl, 'prɑ sɪˌkju tə bəl
prosecute, prɑsəkjut, 'prɑ səˌkjut
prosecuted, prɑsɪkjutɪd, 'prɑ sɪˌkju tɪd
prosecutes, prɑsɪkjuts, 'prɑ sɪˌkjuts
prosecuting, prɑsɪkjutɪŋ, 'prɑ sɪˌkju tɪŋ
prosecution, prɑsəkjuʃən, ˌprɑ sə'kju ʃən
prosecutions, prɑsəkjuʃənz, ˌprɑ sə'kju ʃənz
prosecutor, prɑsɪkjutər, 'prɑ sɪˌkju tər
prosecutorial, prɑsɪkjutɔriəl, ˌprɑ sɪ kju'tɔ riəl
prosecutors, prɑsɪkjutərz, 'prɑ sɪˌkju tərz
proselytize, prɑsələtaɪz, 'prɑ sə ləˌtaɪz
proselytized, prɑsələtaɪzd, 'prɑ sə ləˌtaɪzd
proselytizing, prɑsələtaɪzɪŋ, 'prɑ sə ləˌtaɪ zɪŋ
prosody, prɑsədi, 'prɑ sə di
prospect, prɑspɛkt, 'prɑ spɛkt
prospecting, prɔspɛktɪŋ, ˌprɔ'spɛk tɪŋ
prospective, prəspɛktɪv, prə'spɛk tɪv
prospectively, prəspɛktɪvli, prə'spɛk tɪv li
prospector, prɔspɛktər, 'prɔˌspɛk tər
prospectors, prɔspɛktərz, 'prɔˌspɛk tərz
prospects, prɑspɛkts, 'prɑ spɛkts
prospects, prɑspɛks, 'prɑ spɛks
prospectus, prəspɛktəs, prə'spɛk təs
prospectuses, prəspɛktəsɪz, prə'spɛk tə sɪz
prosper, prɑspər, 'prɑ spər
prospered, prɑspərd, 'prɑ spərd
prospering, prɑspərɪŋ, 'prɑ spə rɪŋ
prosperity, prɑspɛrəti, prɑ'spɛ rə ti
prosperous, prɑspərəs, 'prɑ spə rəs
prospers, prɑspərz, 'prɑ spərz
pross, prɔs, prɔs
prost, prɑst, prɑst
prostaglandin, prostæglændɪn, pro stæ'glæn dɪn
prostaglandins, prostæglændɪnz, pro stæ'glæn dɪnz
prostate, prɑstet, 'prɑˌstet
prostatectomy, prɑstetɛktəmi, ˌprɑ ste'tɛk tə mi
prostatic, prostætɪk, pro'stæ tɪk
prostheses, prɑsθisiz, prɑs'θi siz
prosthesis, prɔsθɛsɪs, ˌprɔs'θɛ sɪs
prosthesis, prɔsθisəs, ˌprɔs'θi səs
prosthetic, prɑsθɛtɪk, prɑs'θɛ tɪk
prosthetics, prɑsθɛtɪks, prɑs'θɛ tɪks
prostitute, prɑstətut, 'prɑ stəˌtut
prostitutes, prɑstətuts, 'prɑ stəˌtuts
prostitution, prɑstətuʃən, ˌprɑ stə'tu ʃən
prostrate, prɑstret, 'prɑs tret
prostration, prɑstreʃən, prɑ'stre ʃən
protagonist, protægənəst, pro'tæ gə nəst
protagonists, protægənəsts, pro'tæ gə nəsts
protagonists, protægənəs, pro'tæ gə nəs
protean, protiən, pro'tiən
protean, protiən, 'pro tiən
protease, protiez, 'pro tiˌez
protect, prətɛkt, prə'tɛkt
protect, pərtɛkt, pər'tɛkt
protected, prətɛktəd, prə'tɛk təd
protected, prətɛktɪd, prə'tɛk tɪd
protected, pərtɛktɪd, pər'tɛk tɪd
protecting, prətɛktɪŋ, prə'tɛk tɪŋ
protecting, pərtɛktɪŋ, pər'tɛk tɪŋ
protection, prətɛkʃən, prə'tɛk ʃən
protection, pərtɛkʃən, pər'tɛk ʃən
protectionism, prətɛkʃənɪzəm, prə'tɛk ʃəˌnɪ zəm
protectionism, pərtɛkʃənɪzəm, pər'tɛk ʃəˌnɪ zəm
protectionist, prətɛkʃənɪst, prə'tɛk ʃə nɪst
protectionist, pərtɛkʃənɪst, pər'tɛk ʃə nɪst
protectionists, prətɛkʃənɪsts, prə'tɛk ʃə nɪsts
protectionists, pərtɛkʃənɪsts, pər'tɛk ʃə nɪsts
protectionists, prətɛkʃənɪs, prə'tɛk ʃə nɪs
protectionists, pərtɛkʃənɪs, pər'tɛk ʃə nɪs
protections, prətɛkʃənz, prə'tɛk ʃənz
protections, pərtɛkʃənz, pər'tɛk ʃənz
protective, prətɛktɪv, prə'tɛk tɪv
protective, pərtɛktɪv, pər'tɛk tɪv
protectively, prətɛktɪvli, prə'tɛk tɪv li
protectively, pərtɛktɪvli, pər'tɛk tɪv li
protector, prətɛktər, prə'tɛk tər
protectorate, prətɛktərət, prə'tɛk tə rət
protectors, prətɛktərz, prə'tɛk tərz
protects, prətɛkts, prə'tɛkts
protege, protəʒe, 'pro təˌʒe
proteges, protɪzez, 'pro tɪˌzez
protein, protin, 'proˌtin
proteinaceous, protɪneʃəs, ˌpro tɪ'ne ʃəs
proteins, protinz, 'proˌtinz
protest, protɛst, 'proˌtɛst
protest, prətɛst, prə'tɛst
protestant, prɑtəstənt, 'prɑ tə stənt
protestants, prɑtəstənts, 'prɑ tə stənts
protestation, protɛsteʃən, ˌproˌtɛ'ste ʃən
protestations, protɛsteʃənz, ˌproˌtɛ'ste ʃənz
protested, prətɛstəd, prə'tɛ stəd
protested, protɛstəd, 'proˌtɛ stəd
protester, protɛstər, 'proˌtɛ stər
protesters, protɛstərz, 'proˌtɛ stərz
protesting, prətɛstɪŋ, prə'tɛ stɪŋ
protesting, protɛstɪŋ, 'proˌtɛ stɪŋ
protestors, protɛstərz, 'proˌtɛ stərz
protests, protɛsts, 'proˌtɛsts
protests, protɛs, 'proˌtɛs
protests, prətɛsts, prə'tɛsts
protests, prətɛs, prə'tɛs
prothallus, proθæləs, ˌpro'θæ ləs
prothorax, proθɔræks, pro'θɔ ræks
protium, protiəm, 'pro tiəm
protocol, protəkɑl, 'pro təˌkɑl
protocol, protəkɔl, 'pro təˌkɔl
protocols, protəkɔlz, 'pro təˌkɔlz
protohistory, protohɪstəri, ˌpro to'hɪ stə ri
proton, protɑn, 'proˌtɑn
protons, protɑnz, 'proˌtɑnz
prototype, protətaɪp, 'pro təˌtaɪp
prototypes, protətaɪps, 'pro təˌtaɪps
prototypical, protətɪpɪkəl, ˌpro tə'tɪ pɪ kəl
protozoa, protəzoə, ˌpro tə'zoə
protozoan, protəzoən, ˌpro tə'zoən
protozoans, protəzoənz, ˌpro tə'zoənz
protract, protrækt, pro'trækt
protract, protrækt, 'pro trækt
protracted, protræktɪd, pro'træk tɪd
protrude, protrud, pro'trud
protruding, protrudɪŋ, pro'tru dɪŋ
protuberance, protubərəns, pro'tu bə rəns
protuberance, prətubərəns, prə'tu bə rəns
protuberances, protubərənsəz, pro'tu bə rən səz
protuberances, prətubərənsəz, prə'tu bə rən səz
proud, praʊd, praʊd
prouder, praʊdər, 'praʊ dər
proudest, praʊdəst, 'praʊ dəst
proudly, praʊdli, 'praʊd li
provable, pruvəbəl, 'pru və bəl
prove, pruv, pruv
proved, pruvd, pruvd
proven, pruvən, 'pru vən
provenance, prɑvənəns, 'prɑ və nəns
provenience, prəvɛniəns, prə'vɛ niəns
proverb, prɑvərb, 'prɑ vərb
proverbial, prəvɜrbiəl, prə'vɜr biəl
proverbs, prɑvərbz, 'prɑ vərbz
proves, pruvz, pruvz
provide, prəvaɪd, prə'vaɪd
provided, prəvaɪdəd, prə'vaɪ dəd
provided, prəvaɪdɪd, prə'vaɪ dɪd
providence, prɑvədəns, 'prɑ və dəns
provident, prɑvɪdənt, 'prɑ vɪ dənt
providential, prɑvədɛntʃəl, ˌprɑ və'dɛn tʃəl
provider, prəvaɪdər, prə'vaɪ dər
providers, prəvaɪdərz, prə'vaɪ dərz
provides, prəvaɪdz, prə'vaɪdz
providing, prəvaɪdɪŋ, prə'vaɪ dɪŋ
province, prɑvəns, 'prɑ vəns
province, prɑvɪns, 'prɑ vɪns
provinces, prɑvənsəz, 'prɑ vən səz
provincial, prəvɪnʃəl, prə'vɪn ʃəl
provincialism, prəvɪntʃəlɪzəm, prə'vɪn tʃəˌlɪ zəm
provincially, prəvɪnʃəli, prə'vɪn ʃə li
proving, pruvɪŋ, 'pru vɪŋ
provision, prəvɪʒən, prə'vɪ ʒən
provisional, prəvɪʒənəl, prə'vɪ ʒə nəl
provisionally, prəvɪʒənəli, prə'vɪ ʒə nə li
provisionally, prəvɪʒnəli, prə'vɪʒ nə li
provisioning, prəvɪʒənɪŋ, prə'vɪ ʒə nɪŋ
provisions, prəvɪʒənz, prə'vɪ ʒənz
proviso, prəvaɪzo, prə'vaɪ zo
provisos, prəvaɪzoz, prə'vaɪ zoz
